,site,location,coordinates
0,TOK01,"Tokyo Dome, Tokyo, JAP ","(35.7056396, 139.7518913)"
1,PHO01,"Chase Field, Phoenix, AZ ","(33.4453344, -112.0667091)"
2,CHI12,"Guaranteed Rate Field;U.S. Cellular Field, Chicago, IL ","(41.8301839, -87.634236)"
3,CIN09,"Great American Ballpark, Cincinnati, OH ","(39.0973808, -84.5070671)"
4,HOU03,"Minute Maid Park, Houston, TX ","(29.7572014, -95.35525)"
5,KAN06,"Kauffman Stadium, Kansas City, MO ","(39.0514836, -94.480493)"
6,LOS03,"Dodger Stadium, Los Angeles, CA ","(34.073851, -118.2399583)"
7,MIA02,"Marlins Park, Miami, FL ","(25.7781487, -80.2195998)"
8,NYC21,"Yankee Stadium II, New York, NY ","(40.8296426, -73.9261745)"
9,SAN02,"Petco Park, San Diego, CA ","(32.7076173, -117.1570405)"
10,SEA03,"Safeco Field, Seattle, WA ","(47.591472, -122.3325832)"
11,STL10,"Busch Stadium III, St. Louis, MO ","(38.6226188, -90.1928209)"
12,ARL03,"Globe Life Field in Arlington, Arlington, TX ","(32.7510146, -97.08299079999999)"
13,TOR02,"Rogers Centre, Toronto, ONT ","(43.6415962, -79.387778)"
14,WAS11,"Nationals Park, Washington, DC ","(38.8730102, -77.0074329)"
15,TAM02,"George M. Steinbrenner Field, Tampa, FL ","(27.9801494, -82.50667709999999)"
16,SAC01,"nan, Sacramento, CA ","(38.5781342, -121.4944209)"
17,BAL12,"Oriole Park at Camden Yards, Baltimore, MD ","(39.28381940000001, -76.62167819999999)"
18,MIL06,"Miller Park, Milwaukee, WI ","(43.0284222, -87.9716492)"
19,PHI13,"Citizens Bank Park, Philadelphia, PA ","(39.9060572, -75.1664952)"
20,MIN04,"Target Field, Minneapolis, MN ","(44.98174299999999, -93.27762919999999)"
21,ANA01,"Angel Stadium of Anaheim, Anaheim, CA ","(33.7998135, -117.8824162)"
22,ATL03,"Truist Park, Atlanta, GA ","(33.8909516, -84.4682886)"
23,BOS07,"Fenway Park, Boston, MA ","(42.3466764, -71.0972178)"
24,CHI11,"Wrigley Field, Chicago, IL ","(41.9484384, -87.6553327)"
25,DEN02,"Coors Field, Denver, CO ","(39.7561077, -104.9941676)"
26,DET05,"Comerica Park, Detroit, MI ","(42.3389436, -83.04922660000001)"
27,NYC20,"Citi Field, New York, NY ","(40.7570024, -73.84590840000001)"
28,PIT08,"PNC Park, Pittsburgh, PA ","(40.4474692, -80.0071603)"
29,SFO03,"Oracle Park, San Francisco, CA ","(37.7783654, -122.3899162)"
30,CLE08,"Progressive Field, Cleveland, OH ","(41.4958921, -81.6852949)"
31,BST01,"Bristol Motor Speedway, Bristol, TN ","(36.515694, -82.25696669999999)"
32,WIL02,"BB&T Ballpark at Bowman Field, Williamsport, PA ","(41.2423286, -77.04709220000001)"
